width	height	description	isModerated	moderatedBy	predicted
0_0_0	495	64	Шёл человек.	1	Norlist	
0_0_1	494	65	Шёл человек	1	Norlist	
0_0_10	489	73	Шёл человек	1	Norlist	
0_0_11	406	46	Шёл человек.	1	Norlist	
0_0_12	379	76	Шёл человек	1	Norlist	
0_0_13	578	73	Шёл человек	1	Norlist	
0_0_14	440	73	Шёл человек	1	Norlist	
0_0_15	529	44	Шёл человек.	1	Norlist	
0_0_16	390	64	Шёл человек	1	Norlist	
0_0_17	484	107	Шёл человек	1	Norlist	
0_0_18	476	80	Шёл человек,	1	Norlist	
0_0_19	481	64	Шёл человек.	1	Norlist	
0_0_2	403	55	Шёл человек	1	Norlist	
0_0_20	583	76	Шёл человек,	1	Norlist	
0_0_21	463	83	Шёл человек	1	Norlist	
0_0_22	361	45	Шёл человек,	1	Norlist	
0_0_23	353	57	Шёл человек	1	Norlist	
0_0_24	345	62	Шёл человек	1	Norlist	
0_0_25	477	73	Шёл человек	1	Norlist	
0_0_26	462	62	Шёл человек	1	Norlist	
0_0_27	442	84	Шёл человек	1	Norlist	
0_0_28	442	83	Шёл человек	1	Norlist	
0_0_29	444	79	Шёл человек	1	Norlist	
0_0_3	375	75	Шёл человек	1	Norlist	
0_0_30	427	58	Шёл человек.	1	Norlist	
0_0_31	415	83	Шёл человек	1	Norlist	
0_0_32	409	91	Шёл человек	1	Norlist	
0_0_33	476	78	Шёл человек	1	Norlist	
0_0_34	401	58	Шёл человек.	1	Norlist	
0_0_35	378	72	Шёл человек	1	Norlist	
0_0_36	543	83	Шёл человек	1	Norlist	
0_0_37	449	80	Шёл человек	1	Norlist	
0_0_38	375	71	Шёл человек	1	Norlist	
0_0_39	545	75	Шёл человек	1	Norlist	
0_0_4	452	76	Шел человек.	1	Norlist	
0_0_40	396	71	Шёл человек	1	Norlist	
0_0_41	320	52	Шёл человек	1	Norlist	
0_0_42	403	53	Шёл человек	1	Norlist	
0_0_43	340	73	Шёл человек.	1	Norlist	
0_0_44	471	73	Шёл человек	1	Norlist	
0_0_45	376	77	Шёл человек.	1	Norlist	
0_0_46	367	58	Шёл человек.	1	Norlist	
0_0_47	554	64	Шёл человек	1	Norlist	
0_0_48	511	68	Шёл человек.	1	Norlist	
0_0_49	525	67	Шёл человек	1	Norlist	
0_0_5	353	99	Шёл человек	1	Norlist	
0_0_50	438	59	Шел человек	1	Norlist	
0_0_51	398	63	Шёл человек.	1	Norlist	
0_0_52	382	49	Шёл человек	1	Norlist	
0_0_53	555	78	Шёл человек	1	Norlist	
0_0_54	575	107	Шёл человек	1	Norlist	
0_0_55	508	63	Шел человек	1	Norlist	
0_0_56	366	43	Шёл человек	1	Norlist	
0_0_57	627	65	Шёл человек	1	Norlist	
0_0_58	373	67	Шёл человек	1	Norlist	
0_0_59	393	73	Шёл человек	1	Norlist	
0_0_6	406	59	Шёл. человек.	1	Norlist	
0_0_60	516	76	Шёл человек	1	Norlist	
0_0_61	450	74	Шёл человек	1	Norlist	
0_0_611	513	79	Шёл человек	1	Norlist	
0_0_612	396	56	Шел человек	1	Norlist	
0_0_613	429	77	Шёл человек	1	Norlist	
0_0_614	484	71	Шёл человек	1	Norlist	
0_0_615	545	64	Шёл человек.	1	Norlist	
0_0_616	522	89	Шел человек	1	Norlist	
0_0_617	381	55	Шёл человек.	1	Norlist	
0_0_618	300	50	Шёл человек	1	Norlist	
0_0_619	550	88	Шёл человек	1	Norlist	
0_0_62	360	52	Шёл человек	1	Norlist	
0_0_620	340	77	Шёл человек	1	Norlist	
0_0_621	453	67	Шёл человек.	1	Norlist	
0_0_622	531	76	Шёл человек	1	Norlist	
0_0_623	481	72	Шёл человек.	1	Norlist	
0_0_624	482	79	Шел человек.	1	Norlist	
0_0_625	414	69	Шёл человек	1	Norlist	
0_0_626	565	60	Шёл человек.	1	Norlist	
0_0_627	535	60	Шёл человек	1	Norlist	
0_0_628	404	64	Шёл человек	1	Norlist	
0_0_629	375	73	Шел человек	1	Norlist	
0_0_630	539	80	Шел человек	1	Norlist	
0_0_631	471	72	Шёл человек.	1	Norlist	
0_0_633	453	70	Шёл человек	1	Norlist	
0_0_634	408	67	Шёл человек.	1	Norlist	
0_0_635	385	62	Шёл человек.	1	Norlist	
0_0_636	405	76	Шел человек	1	Norlist	
0_0_7	478	78	Шёл человек	1	Norlist	
0_0_8	479	44	Шёл человек	1	Norlist	
0_0_9	410	51	Шёл человек	1	Norlist	
0_10_0	648	64	Слепым волчатам	1	Norlist	
0_10_1	718	54	Слепым волчатам	1	Norlist	
0_10_10	595	75	Слепым волчатам	1	Daniyar Borisovich	
0_10_11	601	60	Слепым волчатам	1	Norlist	
0_10_12	633	92	Слепым волчатам	1	Daniyar Borisovich	
0_10_13	695	66	Слепым волчатам	1	Norlist	
0_10_14	561	59	Слепым волчатам	1	Norlist	
0_10_15	726	39	Слепым волчатам	1	Norlist	
0_10_16	664	51	Слепым волчатам	1	Norlist	
0_10_18	629	75	Слепым волчатам	1	Norlist	
0_10_19	594	60	Слепым волчатам	1	Norlist	
0_10_2	675	62	Слепым волчатам	1	Norlist	
0_10_20	695	48	Слепым волчатам	1	Norlist	
0_10_22	428	46	Слепым волчатам	1	Norlist	
0_10_23	517	63	Слепым волчатам	1	Norlist	
0_10_24	549	65	Слепым волчатам	1	Norlist	
0_10_25	590	56	Слепым волчатам	1	Norlist	
0_10_26	585	46	Слепым волчатам	1	Norlist	
0_10_27	609	74	Слепым волчатам	1	Norlist	
0_10_28_	651	51	Слепым волчатам	1	Daniyar Borisovich	
0_10_29	643	90	Слепым волчатам	1	Daniyar Borisovich	
0_10_3	527	57	Слепым волчатам	1	Norlist	
0_10_30	623	57	Слепым волчатам	1	Norlist	
0_10_31	546	74	Слепым волчатам	1	Norlist	
0_10_32	580	77	Слепым волчатам	1	Daniyar Borisovich	
0_10_33	615	65	Слепым волчатам	1	Daniyar Borisovich	
0_10_34	620	54	Слепым волчатам	1	Norlist	
0_10_35	539	63	Слепым волчатам	1	Norlist	
0_10_36	673	63	Слепым волчатам	1	Daniyar Borisovich	
0_10_37	632	83	Слепым волчатам	1	Daniyar Borisovich	
0_10_38	575	78	Слепым волчатам	1	Daniyar Borisovich	
0_10_39	706	77	Слепым волчатам	1	Daniyar Borisovich	
0_10_4	595	62	Слепым волчатам	1	Norlist	
0_10_40	577	63	Слепым волчатам	1	Norlist	
0_10_41	568	61	Слепым волчатам	1	Norlist	
0_10_42	544	66	Слепым волчатам	1	Norlist	
0_10_43	469	83	Слепым волчатам	1	Daniyar Borisovich	
0_10_44	658	65	Слепым волчатал	1	Daniyar Borisovich	
0_10_45	550	53	Слепым волчатам	1	Norlist	
0_10_46	547	64	Слепым волчатам	1	Norlist	
0_10_47	729	61	Слепым волчатам	1	Norlist	
0_10_48	672	53	Слепым волчатам	1	Norlist	
0_10_49	678	78	Слепым волчатам	1	Norlist	
0_10_5	514	83	Слепым волчатам	1	Daniyar Borisovich	
0_10_50	620	56	Слепым волчатам	1	Norlist	
0_10_51	618	62	Слепым волчатам	1	Norlist	
0_10_53	662	86	Слепым волчатам	1	Daniyar Borisovich	
0_10_54	718	102	Слепым волчатам	1	Daniyar Borisovich	
0_10_55	665	62	Слепым волчатам	1	Norlist	
0_10_56	505	49	Слепым волчатам	1	Norlist	
0_10_57	671	71	Слепым волчата	1	Daniyar Borisovich	
0_10_58	501	55	Слепым волчатам	1	Norlist	
0_10_59	588	46	Слепым волчатам	1	Norlist	
